,Year,Team,Week,,Sacked,Yards
0,1972,crd,6,/boxscores/197210220nyg.htm,4,29
0,1972,crd,7,/boxscores/197210290crd.htm,2,14
0,1972,crd,8,/boxscores/197211050phi.htm,3,24
0,1972,crd,9,/boxscores/197211120dal.htm,1,8
0,1972,crd,10,/boxscores/197211190crd.htm,3,14
0,1972,crd,11,/boxscores/197211270mia.htm,3,19
0,1972,crd,12,/boxscores/197212030crd.htm,2,15
0,1972,crd,13,/boxscores/197212100crd.htm,1,9
0,1972,crd,14,/boxscores/197212170crd.htm,1,10
0,1971,crd,1,/boxscores/197109190crd.htm,0,0
0,1971,crd,2,/boxscores/197109270crd.htm,0,0
0,1971,crd,3,/boxscores/197110030crd.htm,1,10
0,1971,crd,4,/boxscores/197110100atl.htm,1,9
0,1971,crd,5,/boxscores/197110170was.htm,0,0
0,1971,crd,6,/boxscores/197110240crd.htm,5,36
0,1971,crd,7,/boxscores/197110310buf.htm,1,8
0,1971,crd,8,/boxscores/197111070crd.htm,4,35
0,1971,crd,9,/boxscores/197111150sdg.htm,0,0
0,1971,crd,10,/boxscores/197111210crd.htm,3,46
0,1971,crd,11,/boxscores/197111280nyg.htm,0,0
0,1971,crd,12,/boxscores/197112050crd.htm,1,11
0,1971,crd,13,/boxscores/197112120phi.htm,1,14
0,1971,crd,14,/boxscores/197112180dal.htm,2,16
0,1970,crd,1,/boxscores/197009180ram.htm,6,54
0,1970,crd,2,/boxscores/197009270crd.htm,0,0
0,1970,crd,3,/boxscores/197010040crd.htm,1,10
0,1970,crd,4,/boxscores/197010110crd.htm,2,19
0,1970,crd,5,/boxscores/197010180phi.htm,3,23
0,1970,crd,6,/boxscores/197010250nyg.htm,1,6
0,1970,crd,7,/boxscores/197011010crd.htm,1,7
0,1970,crd,8,/boxscores/197011080crd.htm,0,0
0,1970,crd,9,/boxscores/197011160dal.htm,1,14
0,1970,crd,10,/boxscores/197011220kan.htm,0,0
0,1970,crd,11,/boxscores/197011290crd.htm,3,29
0,1970,crd,12,/boxscores/197012060det.htm,2,18
0,1970,crd,13,/boxscores/197012130crd.htm,3,18
0,1970,crd,14,/boxscores/197012200was.htm,3,18
0,1969,crd,1,/boxscores/196909210dal.htm,2,17
0,1969,crd,2,/boxscores/196909280crd.htm,1,12
0,1969,crd,3,/boxscores/196910050pit.htm,2,19
0,1969,crd,4,/boxscores/196910120was.htm,1,11
0,1969,crd,5,/boxscores/196910190crd.htm,1,6
0,1969,crd,6,/boxscores/196910260cle.htm,0,0
0,1969,crd,7,/boxscores/196911020crd.htm,0,0
0,1969,crd,8,/boxscores/196911090crd.htm,0,0
0,1969,crd,9,/boxscores/196911160det.htm,4,34
0,1969,crd,10,/boxscores/196911230crd.htm,0,0
0,1969,crd,11,/boxscores/196911300crd.htm,2,21
0,1969,crd,12,/boxscores/196912070nyg.htm,4,44
0,1969,crd,13,/boxscores/196912140crd.htm,1,14
0,1969,crd,14,/boxscores/196912210gnb.htm,3,23
0,1968,crd,1,/boxscores/196809160crd.htm,5,42
0,1968,crd,2,/boxscores/196809220sfo.htm,4,36
0,1968,crd,3,/boxscores/196809290nor.htm,4,40
0,1968,crd,4,/boxscores/196810060crd.htm,2,17
0,1968,crd,5,/boxscores/196810130cle.htm,1,5
0,1968,crd,6,/boxscores/196810200crd.htm,0,0
0,1968,crd,7,/boxscores/196810270crd.htm,0,0
0,1968,crd,8,/boxscores/196811030phi.htm,0,0
0,1968,crd,9,/boxscores/196811100crd.htm,2,16
0,1968,crd,10,/boxscores/196811170clt.htm,2,19
